cycle,state,modeldate,candidate_name,startdate,enddate,pollster,samplesize,population,weight,influence,pct,house_adjusted_pct,trend_and_house_adjusted_pct,tracking,poll_id,question_id
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/23/2020,9/26/2020,Susquehanna Polling & Research Inc.,500,lv,.6815998,0,48,49.22538,49.84145,"",70025,130437
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/22/2020,9/25/2020,Trafalgar Group,1189,lv,.6212083,0,47.7,49.83359,50.50407,"",70014,130422
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/20/2020,9/24/2020,Marist College,727,lv,1.480951,0,54,53.02028,53.7356,"",69996,130357
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/17/2020,9/19/2020,Garin-Hart-Yang Research Group,400,lv,.565323,0,51,49.5829,50.38851,"",69985,130330
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/10/2020,9/21/2020,YouGov,664,lv,.9345885,0,50,50.13969,51.02022,"",69716,130007
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/8/2020,9/22/2020,Baldwin Wallace University,863,lv,.7211198,0,50.3,50.6369,51.53461,"",69703,129963
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/18/2020,9/20/2020,Change Research,571,lv,.6204512,0,51,51.26971,52.06044,"",69686,129908
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/20/2020,6/24/2020,Ogden & Fry,825,lv,.8871915,0,45.2,46.24538,47.55627,"",69632,129821
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/11/2020,9/16/2020,Ipsos,609,lv,.8722953,0,48,48.72174,49.65692,"",69627,129813
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/12/2020,9/16/2020,Redfield & Wilton Strategies,636,lv,.6086572,0,47,48.12141,49.03654,"",69547,129565
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/11/2020,9/15/2020,Civiqs,704,rv,.6030517,0,51,50.13489,51.08399,"",69538,129547
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/7/2020,9/16/2020,Morning Consult,800,lv,.6464173,0,51,50.86062,51.78667,T,69522,129505
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/6/2020,9/15/2020,Morning Consult,800,lv,.0644009,0,51,50.86062,51.80098,T,69497,129460
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/8/2020,9/13/2020,ABC News/The Washington Post,605,lv,1.322618,0,52,51.45566,52.41227,"",69475,129401
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/5/2020,9/14/2020,Morning Consult,809,lv,.0651357,0,51,50.86062,51.81545,T,69471,129393
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/9/2020,9/13/2020,SSRS,816,lv,1.146129,0,52,51.27275,52.22387,"",69463,129370
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/4/2020,9/13/2020,Morning Consult,774,lv,.0626974,0,50,49.86059,50.83009,T,69445,129341
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/3/2020,9/12/2020,Morning Consult,769,lv,.0629124,0,50,49.86059,50.84304,T,69427,129309
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/2/2020,9/11/2020,Morning Consult,797,lv,.0662524,0,50,49.86059,50.85372,T,69426,129308
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/8/2020,9/10/2020,Siena College/The New York Times Upshot,760,lv,1.589157,0,48,48.27948,49.28018,"",69419,129278
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/1/2020,9/10/2020,Morning Consult,797,lv,.0676197,0,50,49.86059,50.86287,T,69414,129271
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/31/2020,9/9/2020,Morning Consult,816,lv,.0712119,0,50,49.86059,50.87204,T,69404,129252
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/6/2020,9/8/2020,Emerson College,823,lv,1.410921,0,51.43,50.82287,51.81504,"",69403,129251
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/28/2020,9/8/2020,Benenson Strategy Group/GS Strategy Group,1200,lv,1.880784,0,50,50.04874,51.08318,"",68580,128407
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/30/2020,9/8/2020,Morning Consult,799,lv,.0720911,0,51,50.86062,51.87939,T,68570,128393
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/30/2020,9/3/2020,Marquette University Law School,688,lv,1.431371,0,48,47.59897,48.65494,"",68559,128354
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/4/2020,9/6/2020,Change Research,501,lv,.5778083,0,50,50.2698,51.29382,"",68538,128313
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/29/2020,9/7/2020,Morning Consult,791,lv,.0742414,0,51,50.86062,51.88732,T,68531,128298
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/30/2020,9/4/2020,Redfield & Wilton Strategies,670,lv,.66364,0,50,51.12302,52.17225,"",68525,128290
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/28/2020,9/6/2020,Morning Consult,770,lv,.0756935,0,51,50.86062,51.89277,T,68503,128248
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/1/2020,9/2/2020,Rasmussen Reports/Pulse Opinion Research,1000,lv,1.034299,0,53.09,52.20655,53.25683,"",68499,128241
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/27/2020,9/5/2020,Morning Consult,763,lv,.0801061,0,50,49.86059,50.91406,T,68496,128232
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,9/2/2020,9/4/2020,YouGov,978,lv,1.2109,0,50,50.13969,51.19389,"",68495,128231
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/26/2020,9/4/2020,Morning Consult,775,lv,.0834736,0,51,50.86062,51.94643,T,68490,128220
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/25/2020,9/3/2020,Morning Consult,797,lv,.0878318,0,52,51.86072,52.96901,T,68488,128216
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/17/2020,8/20/2020,Hodas & Associates,600,lv,.7015365,0,51.91,51.23291,52.40421,"",68485,128206
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/24/2020,9/2/2020,Morning Consult,810,lv,.0910379,0,52,51.86072,52.98913,T,68471,128182
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/23/2020,9/1/2020,Morning Consult,809,lv,.091937,0,52,51.86072,52.9981,T,68457,128143
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/22/2020,8/31/2020,Morning Consult,819,lv,.094653,0,53,52.86089,54.00384,T,68456,128142
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/20/2020,8/29/2020,Morning Consult,797,lv,.0968315,0,51,50.86062,52.01853,T,68455,128141
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/19/2020,8/28/2020,Morning Consult,797,lv,.0997482,0,51,50.86062,52.02342,T,68454,128140
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/18/2020,8/27/2020,Morning Consult,797,lv,.1012897,0,52,51.86072,53.02998,T,68453,128139
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/17/2020,8/26/2020,Morning Consult,797,lv,.0992237,0,52,51.86072,53.02674,T,68452,128138
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/16/2020,8/25/2020,Morning Consult,797,lv,.0962865,0,51,50.86062,52.02997,T,68451,128137
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/15/2020,8/24/2020,Morning Consult,797,lv,.0940222,0,50,49.86059,51.03143,T,68450,128136
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/14/2020,8/23/2020,Morning Consult,797,lv,.092981,0,51,50.86062,52.02815,T,68449,128135
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/13/2020,8/22/2020,Morning Consult,797,lv,.092851,0,50,49.86059,51.01947,T,68448,128134
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/12/2020,8/21/2020,Morning Consult,797,lv,.0927818,0,50,49.86059,51.00957,T,68447,128133
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/11/2020,8/20/2020,Morning Consult,797,lv,.0771357,0,51,50.86062,51.95506,T,68446,128132
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/10/2020,8/19/2020,Morning Consult,797,lv,.0701233,0,51,50.86062,51.92823,T,68445,128131
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/9/2020,8/18/2020,Morning Consult,797,lv,.064467,0,50,49.86059,50.91203,T,68444,128130
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/8/2020,8/17/2020,Morning Consult,797,lv,.0591822,0,48,47.86074,48.91444,T,68443,128129
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/6/2020,8/15/2020,Morning Consult,797,lv,.1145476,0,50,49.86059,50.92247,T,68442,128128
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/5/2020,8/14/2020,Morning Consult,797,lv,.0583284,0,50,49.86059,50.92624,T,68441,128127
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/4/2020,8/13/2020,Morning Consult,797,lv,.0596131,0,50,49.86059,50.93407,T,68440,128126
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/3/2020,8/12/2020,Morning Consult,797,lv,.0611353,0,50,49.86059,50.94583,T,68439,128125
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/2/2020,8/11/2020,Morning Consult,797,lv,.0654958,0,50,49.86059,50.97833,T,68438,128124
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,8/1/2020,8/10/2020,Morning Consult,797,lv,.0669538,0,50,49.86059,50.98916,T,68437,128123
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/31/2020,8/9/2020,Morning Consult,797,lv,.0684986,0,50,49.86059,50.99938,T,68436,128122
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/30/2020,8/8/2020,Morning Consult,797,lv,.0703776,0,51,50.86062,52.00787,T,68435,128121
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/29/2020,8/7/2020,Morning Consult,797,lv,.0723953,0,51,50.86062,52.01762,T,68434,128120
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/28/2020,8/6/2020,Morning Consult,797,lv,.0722169,0,51,50.86062,52.02947,T,68433,128119
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/27/2020,8/5/2020,Morning Consult,797,lv,.0718131,0,51,50.86062,52.04513,T,68432,128118
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/26/2020,8/4/2020,Morning Consult,797,lv,.0714485,0,51,50.86062,52.05846,T,68431,128117
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/25/2020,8/3/2020,Morning Consult,797,lv,.0710954,0,51,50.86062,52.07001,T,68430,128116
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/24/2020,8/2/2020,Morning Consult,797,lv,.0707828,0,52,51.86072,53.08115,T,68429,128115
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/23/2020,8/1/2020,Morning Consult,797,lv,.0707166,0,51,50.86062,52.09527,T,68428,128114
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/22/2020,7/31/2020,Morning Consult,797,lv,.0709205,0,50,49.86059,51.10954,T,68427,128113
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/21/2020,7/30/2020,Morning Consult,797,lv,.071129,0,51,50.86062,52.12367,T,68426,128112
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/20/2020,7/29/2020,Morning Consult,797,lv,.0713741,0,50,49.86059,51.13871,T,68425,128111
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/19/2020,7/28/2020,Morning Consult,797,lv,.0716255,0,50,49.86059,51.15228,T,68424,128110
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/18/2020,7/27/2020,Morning Consult,797,lv,.0715887,0,50,49.86059,51.1644,T,68423,128109
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/16/2020,7/25/2020,Morning Consult,797,lv,.0714588,0,49,48.86063,50.18606,T,68422,128108
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/15/2020,7/24/2020,Morning Consult,797,lv,.0713985,0,49,48.86063,50.19543,T,68421,128107
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/14/2020,7/23/2020,Morning Consult,797,lv,.0713386,0,48,47.86074,49.20449,T,68420,128106
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/13/2020,7/22/2020,Morning Consult,797,lv,.0713108,0,47,46.86092,48.21408,T,68419,128105
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/12/2020,7/21/2020,Morning Consult,797,lv,.0713148,0,48,47.86074,49.22499,T,68418,128104
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/11/2020,7/20/2020,Morning Consult,797,lv,.0713188,0,48,47.86074,49.23336,T,68417,128103
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/10/2020,7/19/2020,Morning Consult,797,lv,.0713228,0,48,47.86074,49.24487,T,68416,128102
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/9/2020,7/18/2020,Morning Consult,797,lv,.0713269,0,49,48.86063,50.25716,T,68415,128101
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/8/2020,7/17/2020,Morning Consult,797,lv,.0713309,0,48,47.86074,49.26545,T,68414,128100
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/7/2020,7/16/2020,Morning Consult,797,lv,.0713349,0,49,48.86063,50.26991,T,68413,128099
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/6/2020,7/15/2020,Morning Consult,797,lv,.0713389,0,49,48.86063,50.27108,T,68412,128098
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/5/2020,7/14/2020,Morning Consult,797,lv,.0713394,0,50,49.86059,51.27198,T,68411,128097
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/4/2020,7/13/2020,Morning Consult,797,lv,.0713399,0,50,49.86059,51.27082,T,68410,128096
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/3/2020,7/12/2020,Morning Consult,797,lv,.0713404,0,50,49.86059,51.26805,T,68409,128095
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/2/2020,7/11/2020,Morning Consult,797,lv,.0713409,0,50,49.86059,51.26424,T,68408,128094
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,7/1/2020,7/10/2020,Morning Consult,797,lv,.0713413,0,51,50.86062,52.25999,T,68407,128093
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/30/2020,7/9/2020,Morning Consult,797,lv,.0713418,0,50,49.86059,51.25266,T,68406,128092
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/29/2020,7/8/2020,Morning Consult,797,lv,.0713423,0,51,50.86062,52.23489,T,68405,128091
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/28/2020,7/7/2020,Morning Consult,797,lv,.0713428,0,51,50.86062,52.22845,T,68404,128090
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/27/2020,7/6/2020,Morning Consult,797,lv,.0713432,0,50,49.86059,51.21519,T,68403,128089
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/26/2020,7/5/2020,Morning Consult,797,lv,.0713437,0,51,50.86062,52.20299,T,68402,128088
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/25/2020,7/4/2020,Morning Consult,797,lv,.0713437,0,50,49.86059,51.19169,T,68401,128087
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/24/2020,7/3/2020,Morning Consult,797,lv,.0713437,0,50,49.86059,51.1818,T,68400,128086
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/23/2020,7/2/2020,Morning Consult,797,lv,.0713437,0,50,49.86059,51.17175,T,68399,128085
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/22/2020,7/1/2020,Morning Consult,797,lv,.0713437,0,49,48.86063,50.15918,T,68398,128084
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/21/2020,6/30/2020,Morning Consult,797,lv,.0713437,0,49,48.86063,50.15013,T,68397,128083
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/20/2020,6/29/2020,Morning Consult,797,lv,.0713437,0,48,47.86074,49.13889,T,68396,128082
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/19/2020,6/28/2020,Morning Consult,797,lv,.0713437,0,49,48.86063,50.13071,T,68395,128081
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/18/2020,6/27/2020,Morning Consult,797,lv,.0713437,0,49,48.86063,50.12589,T,68394,128080
2020,Wisconsin,10/26/2020,Joseph R. Biden Jr.,6/17/2020,6/26/2020,Morning Consult,797,lv,.0713437,0,48,47.86074,49.12777,T,68393,128079
